lemma,pos,cefr,gender,word,plural,pluralPattern,singularOnly,pluralOnly,governedCase,partizipII,auxiliary,praesens3sg,isSeparable,exampleDE,exampleEN,sourceLine,verification
ab,other,A1,,ab,,,0,0,,,,,0,Ab morgen muss ich arbeiten.,I have to work from tomorrow.,ab	Ab morgen muss ich arbeiten.	I have to work from tomorrow.,
die Ankunft,noun,A1,die,Ankunft,Ankünfte,-¨e,0,0,,,,,0,Auf diesem Plan steht nur die Ankunft(-szeit) der Züge.,This plan only shows the arrival time of the trains.,die Ankunft	Auf diesem Plan steht nur die Ankunft(-szeit) der Züge.	This plan only shows the arrival time of the trains.,verified
ankreuzen,verb,A1,,ankreuzen,,,0,0,,,,,1,Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen.,"On the form, you need to check several places.","ankreuzen	Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen.	On the form, you need to check several places.",
anmachen,verb,A1,,anmachen,,,0,0,,angemacht,haben,macht an,1,Mach bitte das Licht an!,Please turn on the light.,anmachen	Mach bitte das Licht an!	Please turn on the light.,
anmelden,verb,A1,,anmelden,,,0,0,,,,,1,Wo kann ich mich anmelden?,Where can I register?,(sich) anmelden	Wo kann ich mich anmelden?	Where can I register?,
die Anmeldung,noun,A1,die,Anmeldung,Anmeldungen,-en,0,0,,,,,0,Eine Anmeldung für diesen Kurs ist nicht mehr möglich.,Registration for this course is no longer possible.,die Anmeldung	Eine Anmeldung für diesen Kurs ist nicht mehr möglich.	Registration for this course is no longer possible.,verified
die Anrede,noun,A1,die,Anrede,Anreden,wiktionary,0,0,,,,,0,Schreiben Sie auch eine Anrede und einen Gruß.,"Also, write a salutation and a closing.","die Anrede	Schreiben Sie auch eine Anrede und einen Gruß.	Also, write a salutation and a closing.",verified
anrufen,verb,A1,,anrufen,,,0,0,,angerufen,haben,,1,Kann man Sie anrufen?,Can one call you?,anrufen(1)	Kann man Sie anrufen?	Can one call you?,
der Anruf,noun,A1,der,Anruf,Anrufe,-e,0,0,,,,,0,Sie bekommt viele Anrufe auf ihrem Handy.,She receives many calls on her cell phone.,"der Anruf, -e	Sie bekommt viele Anrufe auf ihrem Handy.	She receives many calls on her cell phone.",verified
der Anrufbeantworter,noun,A1,der,Anrufbeantworter,Anrufbeantworter,wiktionary,0,0,,,,,0,Wir sind im Moment nicht da. Sprechen Sie bitte auf den Anrufbeantworter.,We are not available at the moment. Please leave a message on the answering machine.,der Anrufbeantworter	Wir sind im Moment nicht da. Sprechen Sie bitte auf den Anrufbeantworter.	We are not available at the moment. Please leave a message on the answering machine.,verified
die Ansage,noun,A1,die,Ansage,Ansagen,-n,0,0,,,,,0,Hören Sie die Ansagen.,Listen to the announcements.,"die Ansage, -n	Hören Sie die Ansagen.	Listen to the announcements.",verified
der Anschluss,noun,A1,der,Anschluss,Anschlüsse,¨-e,0,0,,,,,0,In Mannheim haben Sie Anschluss nach Saarbrücken.,"In Mannheim, you have a connection to Saarbrücken.","der Anschluss(1)	In Mannheim haben Sie Anschluss nach Saarbrücken.	In Mannheim, you have a connection to Saarbrücken.",verified
an sein,other,A1,,an sein,,,0,0,,,,,0,Heute Nacht war das Licht an.,The light was on last night.,an sein	Heute Nacht war das Licht an.	The light was on last night.,
antworten,verb,A1,,antworten,,,0,0,,geantwortet,haben,,1,Er antwortet nicht.,He does not answer.,antworten	Er antwortet nicht.	He does not answer.,
die Antwort,noun,A1,die,Antwort,Antworten,-en,0,0,,,,,0,Er gibt leider keine Antwort.,"Unfortunately, he gives no answer.","die Antwort, -en	Er gibt leider keine Antwort.	Unfortunately, he gives no answer.",verified
die Anzeige,noun,A1,die,Anzeige,Anzeigen,-n,0,0,,,,,0,Ich habe Ihre Anzeige in der Zeitung gelesen.,I read your advertisement in the newspaper.,"die Anzeige, -n	Ich habe Ihre Anzeige in der Zeitung gelesen.	I read your advertisement in the newspaper.",verified
anziehen,verb,A1,,anziehen,,,0,0,,,,,1,Ich muss mich noch anziehen.,I still need to get dressed.,(sich) anziehen	Ich muss mich noch anziehen.	I still need to get dressed.,
das Apartment,noun,A1,das,Apartment,Apartments,-s,0,0,,,,,0,Wir haben ein Apartment gemietet.,We rented an apartment.,"das Apartment, -s	Wir haben ein Apartment gemietet.	We rented an apartment.",verified
der Apfel,noun,A1,der,Apfel,Äpfel,-Ä,0,0,,,,,0,Ein Pfund Äpfel bitte.,"A pound of apples, please.","der Apfel, -Ä	Ein Pfund Äpfel bitte.	A pound of apples, please.",verified
der Appetit,noun,A1,der,Appetit,,,0,0,,,,,0,Guten Appetit!,Enjoy your meal!,der Appetit	Guten Appetit!	Enjoy your meal!,verified
arbeiten,verb,A1,,arbeiten,,,0,0,,,,,0,Wo arbeiten Sie?,Where do you work?,arbeiten	Wo arbeiten Sie?	Where do you work?,
die Arbeit,noun,A1,die,Arbeit,Arbeiten,-en,0,0,,,,,0,Mein Bruder sucht Arbeit.,My brother is looking for work.,"die Arbeit, -en	Mein Bruder sucht Arbeit.	My brother is looking for work.",verified
arbeitslos,other,A1,,arbeitslos,,,0,0,,,,,0,"Es gibt bei uns viele Leute, die schon lange arbeitslos sind.",There are many people here who have been unemployed for a long time.,"arbeitslos	Es gibt bei uns viele Leute, die schon lange arbeitslos sind.	There are many people here who have been unemployed for a long time.",
der Arbeitsplatz,noun,A1,der,Arbeitsplatz,Arbeitsplätze,"-ä, e",0,0,,,,,0,An meinem Arbeitsplatz fehlt ein Drucker.,A printer is missing at my workplace.,"der Arbeitsplatz, -ä, e	An meinem Arbeitsplatz fehlt ein Drucker.	A printer is missing at my workplace.",verified
der Arm,noun,A1,der,Arm,Arme,-e,0,0,,,,,0,Mein Arm tut weh.,My arm hurts.,"der Arm, -e	Mein Arm tut weh.	My arm hurts.",verified
der Arzt,noun,A1,der,Arzt,Ärzte,"-Ä, e",0,0,,,,,0,Morgen habe ich einen Termin bei meiner Ärztin.,I have an appointment with my doctor tomorrow.,"der Arzt, -Ä, e	Morgen habe ich einen Termin bei meiner Ärztin.	I have an appointment with my doctor tomorrow.",verified
auch,other,A1,,auch,,,0,0,,,,,0,Ich bin auch Spanier.,I am also Spanish.,auch	Ich bin auch Spanier.	I am also Spanish.,
auf,preposition,A1,,auf,,,0,0,wechsel,,,,0,Die Kinder spielen auf der Straße.,The children are playing on the street.,auf(1)	Die Kinder spielen auf der Straße.	The children are playing on the street.,
auf sein,other,A1,,auf sein,,,0,0,,,,,0,Du brauchst den Schlüssel nicht. Die Wohnung ist auf.,You don't need the key. The apartment is unlocked.,auf sein	Du brauchst den Schlüssel nicht. Die Wohnung ist auf.	You don't need the key. The apartment is unlocked.,
aufstehen,verb,A1,,aufstehen,,,0,0,,aufgestanden,sein,steht auf,1,Ich muss immer um vier Uhr aufstehen.,I always have to get up at four o'clock.,aufstehen(1)	Ich muss immer um vier Uhr aufstehen.	I always have to get up at four o'clock.,
der Aufzug,noun,A1,der,Aufzug,Aufzüge,"-ü, e",0,0,,,,,0,In diesem Haus gibt es keinen Aufzug.,There is no elevator in this building.,"der Aufzug, -ü, e	In diesem Haus gibt es keinen Aufzug.	There is no elevator in this building.",verified
das Auge,noun,A1,das,Auge,Augen,-n,0,0,,,,,0,Er hat blaue Augen.,He has blue eyes.,"das Auge, -n	Er hat blaue Augen.	He has blue eyes.",verified
aus,preposition,A1,,aus,,,0,0,dativ,,,,0,Er kommt aus Brasilien.,He comes from Brazil.,aus	Er kommt aus Brasilien.	He comes from Brazil.,
der Ausflug,noun,A1,der,Ausflug,Ausflüge,¨-e,0,0,,,,,0,Morgen machen wir einen Ausflug nach Heidelberg.,Tomorrow we are going on a trip to Heidelberg.,der Ausflug	Morgen machen wir einen Ausflug nach Heidelberg.	Tomorrow we are going on a trip to Heidelberg.,verified
ausfüllen,verb,A1,,ausfüllen,,,0,0,,ausgefüllt,haben,füllt aus,1,Füllen Sie bitte dieses Formular aus.,Please fill out this form.,ausfüllen	Füllen Sie bitte dieses Formular aus.	Please fill out this form.,
der Ausgang,noun,A1,der,Ausgang,Ausgänge,¨-e,0,0,,,,,0,Wo ist der Ausgang?,Where is the exit?,der Ausgang	Wo ist der Ausgang?	Where is the exit?,verified
die Auskunft,noun,A1,die,Auskunft,Auskünfte,"-ü, e",0,0,,,,,0,Können Sie mir eine Auskunft geben?,Can you give me information?,"die Auskunft, -ü, e	Können Sie mir eine Auskunft geben?	Can you give me information?",verified
das Ausland,noun,A1,das,Ausland,,,1,0,,,,,0,Fahren Sie ins Ausland?,Are you going abroad?,das Ausland	Fahren Sie ins Ausland?	Are you going abroad?,verified
der Ausländer,noun,A1,der,Ausländer,Ausländer,-,0,0,,,,,0,Sind Sie Ausländerin?,Are you a foreigner?,"der Ausländer, -	Sind Sie Ausländerin?	Are you a foreigner?",verified
ausländisch,other,A1,,ausländisch,,,0,0,,,,,0,Leider habe ich nur ausländisches Geld.,"Unfortunately, I only have foreign money.","ausländisch	Leider habe ich nur ausländisches Geld.	Unfortunately, I only have foreign money.",
ausmachen,verb,A1,,ausmachen,,,0,0,,ausgemacht,haben,macht aus,1,Mach bitte das Licht aus!,Please turn off the light.,ausmachen	Mach bitte das Licht aus!	Please turn off the light.,
die Aussage,noun,A1,die,Aussage,Aussagen,-n,0,0,,,,,0,Ist die Aussage richtig oder falsch?,Is the statement correct or incorrect?,"die Aussage, -n	Ist die Aussage richtig oder falsch?	Is the statement correct or incorrect?",verified
aussehen,verb,A1,,aussehen,,,0,0,,ausgesehen,haben,,1,Das sieht schön aus.,That looks nice.,aussehen	Das sieht schön aus.	That looks nice.,
aus sein,other,A1,,aus sein,,,0,0,,,,,0,Das Licht ist aus.,The light is off.,aus sein(1)	Das Licht ist aus.	The light is off.,
aussteigen,verb,A1,,aussteigen,,,0,0,,ausgestiegen,sein,steigt aus,1,Wo muss ich aussteigen?,Where do I need to get off?,aussteigen	Wo muss ich aussteigen?	Where do I need to get off?,
der Ausweis,noun,A1,der,Ausweis,Ausweise,-e,0,0,,,,,0,Hier ist mein Ausweis.,Here is my ID.,der Ausweis	Hier ist mein Ausweis.	Here is my ID.,verified
ausziehen,verb,A1,,ausziehen,,,0,0,,,,,1,"Zieh die Schuhe aus, bitte!","Take off your shoes, please!","(sich) ausziehen	Zieh die Schuhe aus, bitte!	Take off your shoes, please!",
das Auto,noun,A1,das,Auto,Autos,-s,0,0,,,,,0,Er kommt mit dem Auto.,He comes by car.,"das Auto, -s	Er kommt mit dem Auto.	He comes by car.",verified
die Autobahn,noun,A1,die,Autobahn,Autobahnen,-en,0,0,,,,,0,Wo geht‘s hier bitte zur Autobahn?,"Where is the motorway, please?","die Autobahn, -en	Wo geht‘s hier bitte zur Autobahn?	Where is the motorway, please?",verified
der Automat,noun,A1,der,Automat,Automaten,-en,0,0,,,,,0,Die Fahrkarten gibt es nur am Automaten.,Tickets are only available at the vending machine.,der Automat	Die Fahrkarten gibt es nur am Automaten.	Tickets are only available at the vending machine.,verified
automatisch,other,A1,,automatisch,,,0,0,,,,,0,Du musst nichts machen. Das geht automatisch.,You don't have to do anything. It happens automatically.,automatisch	Du musst nichts machen. Das geht automatisch.	You don't have to do anything. It happens automatically.,
das Baby,noun,A1,das,Baby,Babys,-s,0,0,,,,,0,Mein Kind ist noch ein Baby.,My child is still a baby.,"das Baby, -s	Mein Kind ist noch ein Baby.	My child is still a baby.",verified
die Bäckerei,noun,A1,die,Bäckerei,Bäckereien,-en,0,0,,,,,0,Ich geh mal schnell zur Bäckerei.,I'll quickly go to the bakery.,die Bäckerei	Ich geh mal schnell zur Bäckerei.	I'll quickly go to the bakery.,verified
das Bad,noun,A1,das,Bad,Bäder,¨-er,0,0,,,,,0,Wir haben kein großes Bad.,We don't have a big bathroom.,das Bad	Wir haben kein großes Bad.	We don't have a big bathroom.,verified
baden,verb,A1,,baden,,,0,0,,gebadet,haben,,0,"Ich bade nicht so gern, ich dusche lieber.",I don't like bathing much; I prefer showering.,"baden	Ich bade nicht so gern, ich dusche lieber.	I don't like bathing much; I prefer showering.",
die Bahn,noun,A1,die,Bahn,Bahnen,-en,0,0,,,,,0,Wir fahren lieber mit der Bahn.,We prefer traveling by train.,die Bahn(1)	Wir fahren lieber mit der Bahn.	We prefer traveling by train.,verified
der Bahnhof,noun,A1,der,Bahnhof,Bahnhöfe,¨-e,0,0,,,,,0,Komme ich hier zum Bahnhof?,Am I here for the train station?,der Bahnhof	Komme ich hier zum Bahnhof?	Am I here for the train station?,verified
der Bahnsteig,noun,A1,der,Bahnsteig,Bahnsteige,-e,0,0,,,,,0,Auf welchem Bahnsteig fährt der Zug?,On which platform does the train depart?,der Bahnsteig	Auf welchem Bahnsteig fährt der Zug?	On which platform does the train depart?,verified
bald,other,A1,,bald,,,0,0,,,,,0,Ich komme bald.,I'll come soon.,bald	Ich komme bald.	I'll come soon.,
der Balkon,noun,A1,der,Balkon,Balkons,wiktionary,0,0,,,,,0,Die Wohnung hat auch einen kleinen Balkon.,The apartment also has a small balcony.,der Balkon	Die Wohnung hat auch einen kleinen Balkon.	The apartment also has a small balcony.,verified
die Banane,noun,A1,die,Banane,Bananen,-n,0,0,,,,,0,"Drei Bananen, bitte!","Three bananas, please!","die Banane, -n	Drei Bananen, bitte!	Three bananas, please!",verified
die Bank,noun,A1,die,Bank,Bänke,wiktionary,0,0,,,,,0,Die Bank schließt schon um vier Uhr.,The bank closes at four o'clock.,die Bank(1)	Die Bank schließt schon um vier Uhr.	The bank closes at four o'clock.,verified
bar,other,A1,,bar,,,0,0,,,,,0,Muss ich bar zahlen oder geht‘s auch mit Karte?,Do I have to pay in cash or can I use a card?,bar	Muss ich bar zahlen oder geht‘s auch mit Karte?	Do I have to pay in cash or can I use a card?,
der Bauch,noun,A1,der,Bauch,Bäuche,¨-e,0,0,,,,,0,Seit gestern tut mir der Bauch weh.,My stomach has been hurting since yesterday.,der Bauch	Seit gestern tut mir der Bauch weh.	My stomach has been hurting since yesterday.,verified
der Baum,noun,A1,der,Baum,Bäume,"-ä, e",0,0,,,,,0,"Vorsicht, fahr nicht an den Baum!","Careful, don’t drive into the tree!","der Baum, -ä, e	Vorsicht, fahr nicht an den Baum!	Careful, don’t drive into the tree!",verified
der Beamte,noun,A1,der,Beamte,Beamten,-n,0,0,,,,,0,Fragen Sie die Beamtin am Schalter acht!,Ask the female official at counter eight!,"der Beamte, -n	Fragen Sie die Beamtin am Schalter acht!	Ask the female official at counter eight!",unverified
bedeuten,verb,A1,,bedeuten,,,0,0,,bedeutet,haben,bedeutet,0,Was bedeutet das Wort?,What does the word mean?,bedeuten	Was bedeutet das Wort?	What does the word mean?,
beginnen,verb,A1,,beginnen,,,0,0,,begonnen,haben,beginnt,0,Das Spiel beginnt um 15.30 Uhr.,The game starts at 3:30 PM.,beginnen	Das Spiel beginnt um 15.30 Uhr.	The game starts at 3:30 PM.,
bei,preposition,A1,,bei,,,0,0,dativ,,,,0,Offenbach liegt bei Frankfurt.,Offenbach is near Frankfurt.,bei(1)	Offenbach liegt bei Frankfurt.	Offenbach is near Frankfurt.,
beide,other,A1,,beide,,,0,0,,,,,0,Beide Eltern arbeiten.,Both parents work.,beide	Beide Eltern arbeiten.	Both parents work.,
das Bein,noun,A1,das,Bein,Beine,-e,0,0,,,,,0,Mein rechtes Bein tut weh.,My right leg hurts.,"das Bein, -e	Mein rechtes Bein tut weh.	My right leg hurts.",verified
das Beispiel,noun,A1,das,Beispiel,Beispiele,-e,0,0,,,,,0,Kannst du mir ein Beispiel sagen?,Can you give me an example?,"das Beispiel, -e	Kannst du mir ein Beispiel sagen?	Can you give me an example?",verified
zum Beispiel/z. B.,other,A1,,zum Beispiel/z. B.,,,0,0,,,,,0,"Viele meiner Verwandten, z. B. meine beiden Brüder, arbeiten auch hier.","Many of my relatives, e.g., my two brothers, also work here.","zum Beispiel/z. B.	Viele meiner Verwandten, z. B. meine beiden Brüder, arbeiten auch hier.	Many of my relatives, e.g., my two brothers, also work here.",
bekannt,other,A1,,bekannt,,,0,0,,,,,0,Picasso ist sehr bekannt.,Picasso is very well known.,bekannt	Picasso ist sehr bekannt.	Picasso is very well known.,
der,other,A1,,der,,,0,0,,,,,0,Ein Bekannter von mir heißt Klaus.,A friend of mine is named Klaus.,der/die Bekannte	Ein Bekannter von mir heißt Klaus.	A friend of mine is named Klaus.,
die Bekannte,noun,A1,die,Bekannte,,,0,0,,,,,0,Ein Bekannter von mir heißt Klaus.,A friend of mine is named Klaus.,der/die Bekannte	Ein Bekannter von mir heißt Klaus.	A friend of mine is named Klaus.,verified
bekommen,verb,A1,,bekommen,,,0,0,,bekommen,haben,,0,Haben Sie meinen Brief bekommen?,Did you receive my letter?,bekommen(1)	Haben Sie meinen Brief bekommen?	Did you receive my letter?,
benutzen,verb,A1,,benutzen,,,0,0,,benutzt,haben,benutzt,0,Die Aufzüge bitte nicht benutzen!,Please do not use the elevators.,benutzen	Die Aufzüge bitte nicht benutzen!	Please do not use the elevators.,
der Beruf,noun,A1,der,Beruf,Berufe,-e,0,0,,,,,0,Was sind Sie von Beruf?,What is your profession?,"der Beruf, -e	Was sind Sie von Beruf?	What is your profession?",verified
besetzt,other,A1,,besetzt,,,0,0,,,,,0,Die Nummer ist immer besetzt.,The number is always busy.,besetzt(1)	Die Nummer ist immer besetzt.	The number is always busy.,
besichtigen,verb,A1,,besichtigen,,,0,0,,besichtigt,haben,,0,Ich möchte gern den Dom besichtigen.,I would like to visit the cathedral.,besichtigen	Ich möchte gern den Dom besichtigen.	I would like to visit the cathedral.,
besser,other,A1,,besser,,,0,0,,,,,0,Es geht mir schon besser.,I’m already feeling better.,besser(1)	Es geht mir schon besser.	I’m already feeling better.,
best-,other,A1,,best-,,,0,0,,,,,0,Am besten treffen wir uns morgen.,It’s best if we meet tomorrow.,best-(1)	Am besten treffen wir uns morgen.	It’s best if we meet tomorrow.,
bestellen,verb,A1,,bestellen,,,0,0,,bestellt,haben,,0,"Wir möchten bestellen, bitte.","We would like to order, please.","bestellen(1)	Wir möchten bestellen, bitte.	We would like to order, please.",
besuchen,verb,A1,,besuchen,,,0,0,,besucht,haben,,0,Darf ich dich besuchen?,May I visit you?,besuchen	Darf ich dich besuchen?	May I visit you?,
das Bett,noun,A1,das,Bett,Betten,-en,0,0,,,,,0,Wir brauchen noch ein Kinderbett.,We need an extra crib.,"das Bett, -en	Wir brauchen noch ein Kinderbett.	We need an extra crib.",verified
bezahlen,verb,A1,,bezahlen,,,0,0,,bezahlt,haben,,0,Wo muss ich bezahlen?,Where do I need to pay?,bezahlen	Wo muss ich bezahlen?	Where do I need to pay?,
das Bier,noun,A1,das,Bier,Biere,-e,0,0,,,,,0,Noch ein Bier bitte.,"Another beer, please.","das Bier	Noch ein Bier bitte.	Another beer, please.",verified
das Bild,noun,A1,das,Bild,Bilder,-er,0,0,,,,,0,Hast du ein Bild von deinem Sohn?,Do you have a picture of your son?,"das Bild, -er	Hast du ein Bild von deinem Sohn?	Do you have a picture of your son?",verified
billig,other,A1,,billig,,,0,0,,,,,0,Die Jacke kostet nur 10 Euro!,The jacket costs only 10 euros!,billig(1)	Die Jacke kostet nur 10 Euro!	The jacket costs only 10 euros!,
die Birne,noun,A1,die,Birne,Birnen,-n,0,0,,,,,0,"Ein Kilo Birnen, bitte!","A kilo of pears, please!","die Birne, -n	Ein Kilo Birnen, bitte!	A kilo of pears, please!",verified
bis,other,A1,,bis,,,0,0,,,,,0,Ich fahre nur bis Stuttgart.,I only travel as far as Stuttgart.,bis(1)	Ich fahre nur bis Stuttgart.	I only travel as far as Stuttgart.,
bisschen,verb,A1,,bisschen,,,0,0,,,,,0,"Ich spreche Englisch, Französisch und ein bisschen Deutsch.","I speak English, French, and a little German.","bisschen	Ich spreche Englisch, Französisch und ein bisschen Deutsch.	I speak English, French, and a little German.",
bitte,other,A1,,bitte,,,0,0,,,,,0,"Eine Tasse Kaffee, bitte!","A cup of coffee, please!","bitte(1)	Eine Tasse Kaffee, bitte!	A cup of coffee, please!",
die Bitte,noun,A1,die,Bitte,Bitten,-n,0,0,,,,,0,Ich habe noch eine Bitte.,I have one more request.,"die Bitte, -n	Ich habe noch eine Bitte.	I have one more request.",verified
bitten,verb,A1,,bitten,,,0,0,,gebeten,haben,bittet,0,Darf ich Sie um etwas bitten?,May I ask you for something?,bitten	Darf ich Sie um etwas bitten?	May I ask you for something?,
bitter,other,A1,,bitter,,,0,0,,,,,0,Der Kaffee schmeckt bitter.,The coffee tastes bitter.,bitter	Der Kaffee schmeckt bitter.	The coffee tastes bitter.,
bleiben,verb,A1,,bleiben,,,0,0,,geblieben,sein,bleibt,0,Ich bleibe heute zu Hause.,I am staying home today.,bleiben(1)	Ich bleibe heute zu Hause.	I am staying home today.,
der Bleistift,noun,A1,der,Bleistift,Bleistifte,-e,0,0,,,,,0,Hast du einen Bleistift?,Do you have a pencil?,"der Bleistift, -e	Hast du einen Bleistift?	Do you have a pencil?",verified
der Blick,noun,A1,der,Blick,Blicke,wiktionary,0,0,,,,,0,Von diesem Hotel hat man einen guten Blick auf den Rhein.,"From this hotel, you have a good view of the Rhine.","der Blick	Von diesem Hotel hat man einen guten Blick auf den Rhein.	From this hotel, you have a good view of the Rhine.",verified
die Blume,noun,A1,die,Blume,Blumen,-n,0,0,,,,,0,Gefallen dir die Blumen?,Do you like the flowers?,"die Blume, -n	Gefallen dir die Blumen?	Do you like the flowers?",verified
der Bogen,noun,A1,der,Bogen,Bogen,wiktionary,0,0,,,,,0,Schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.,Please write your answers on the answer sheet.,der Bogen	Schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.	Please write your answers on the answer sheet.,verified
böse,other,A1,,böse,,,0,0,,,,,0,Sie ist böse auf mich.,She is angry with me.,böse	Sie ist böse auf mich.	She is angry with me.,
brauchen,verb,A1,,brauchen,,,0,0,,gebraucht,haben,,0,Brauchst du die Zeitung noch?,Do you still need the newspaper?,brauchen	Brauchst du die Zeitung noch?	Do you still need the newspaper?,
breit,other,A1,,breit,,,0,0,,,,,0,Wie breit ist der Schrank?,How wide is the cupboard?,breit	Wie breit ist der Schrank?	How wide is the cupboard?,
der Brief,noun,A1,der,Brief,Briefe,-e,0,0,,,,,0,Haben Sie einen Brief für mich?,Do you have a letter for me?,"der Brief, -e	Haben Sie einen Brief für mich?	Do you have a letter for me?",verified
die Briefmarke,noun,A1,die,Briefmarke,Briefmarken,-n,0,0,,,,,0,Kaufst du bitte Briefmarken bei der Post.,Please buy stamps at the post office.,"die Briefmarke, -n	Kaufst du bitte Briefmarken bei der Post.	Please buy stamps at the post office.",verified
bringen,verb,A1,,bringen,,,0,0,,gebracht,haben,,0,Bringen Sie mir bitte noch einen Kaffee!,Please bring me another coffee!,bringen(1)	Bringen Sie mir bitte noch einen Kaffee!	Please bring me another coffee!,
das Brot,noun,A1,das,Brot,Brote,-e,0,0,,,,,0,Haben Sie auch Weißbrot?,Do you also have white bread?,"das Brot, -e(1) 	Haben Sie auch Weißbrot?	Do you also have white bread?",verified
das Brötchen,noun,A1,das,Brötchen,Brötchen,-,0,0,,,,,0,Möchtest du Brötchen zum Frühstück?,Do you want rolls for breakfast?,das Brötchen	Möchtest du Brötchen zum Frühstück?	Do you want rolls for breakfast?,verified
der Bruder,noun,A1,der,Bruder,Brüder,-ü,0,0,,,,,0,Sein Bruder arbeitet auch hier.,His brother also works here.,"der Bruder, -ü	Sein Bruder arbeitet auch hier.	His brother also works here.",verified
